metric,assoc_2,assoc_4,assoc_8,assoc_16
active_cycles_0,159219557,157244471,157219120,157222326,
busy_cycles_0,159219557,157244471,157219120,157222326,
serving_requests_0,266937067,265840443,265849670,265796423,
average_serving_requests_0,0.302659,0.324713,0.324763,0.324692,
active_cycles_0_0,159219557,157244471,157219120,157222326,
busy_cycles_0_0,174939365,171722039,171709232,171714998,
serving_requests_0_0,266937067,265840443,265849670,265796423,
average_serving_requests_0_0,0.302659,0.324713,0.324763,0.324692,
active_cycles_0_0_0,24925267,24698387,24690607,24697712,
busy_cycles_0_0_0,24925267,24698387,24690607,24697712,
serving_requests_0_0_0,33029651,32870526,32851215,32869871,
average_serving_requests_0_0_0,0.037450,0.040150,0.040131,0.040153,
active_cycles_0_0_1,25332036,25118277,25128558,25137670,
busy_cycles_0_0_1,25332036,25118277,25128558,25137670,
serving_requests_0_0_1,33320860,33178937,33187916,33198889,
average_serving_requests_0_0_1,0.037780,0.040527,0.040543,0.040555,
active_cycles_0_0_2,24859002,24688809,24685312,24680299,
busy_cycles_0_0_2,24859002,24688809,24685312,24680299,
serving_requests_0_0_2,32661197,32579529,32575082,32565454,
average_serving_requests_0_0_2,0.037032,0.039795,0.039794,0.039781,
active_cycles_0_0_3,25271545,25055019,25074916,25051262,
busy_cycles_0_0_3,25271545,25055019,25074916,25051262,
serving_requests_0_0_3,33441380,33338694,33362222,33341596,
average_serving_requests_0_0_3,0.037917,0.040722,0.040755,0.040729,
active_cycles_0_0_4,25207385,24959873,24961908,24955613,
busy_cycles_0_0_4,25207385,24959873,24961908,24955613,
serving_requests_0_0_4,33205178,33009950,33013701,33005501,
average_serving_requests_0_0_4,0.037649,0.040320,0.040330,0.040319,
active_cycles_0_0_5,25423856,25200512,25206751,25184676,
busy_cycles_0_0_5,25423856,25200512,25206751,25184676,
serving_requests_0_0_5,33564459,33418235,33418189,33389827,
average_serving_requests_0_0_5,0.038056,0.040819,0.040824,0.040788,
active_cycles_0_0_6,25950099,25785368,25770547,25759598,
busy_cycles_0_0_6,25950099,25785368,25770547,25759598,
serving_requests_0_0_6,34326027,34292472,34271139,34261874,
average_serving_requests_0_0_6,0.038920,0.041887,0.041866,0.041854,
active_cycles_0_0_7,25224141,24910449,24916501,24916360,
busy_cycles_0_0_7,25224141,24910449,24916501,24916360,
serving_requests_0_0_7,33388315,33152100,33170206,33163411,
average_serving_requests_0_0_7,0.037856,0.040494,0.040521,0.040512,
read_transaction_bytes_0,499936064,499684096,499635264,499630016,
write_transaction_bytes_0,255056960,255027712,255002496,255001792,
row_hits_channel_0_core,7587832,7647232,7647481,7646837,
row_misses_channel_0_core,381071,372218,371475,371990,
row_conflicts_channel_0_core,3827863,3772922,3772259,3772295,
read_row_hits_channel_0_core,5291741,5310338,5310315,5310039,
,5291741.0,5310338.0,5310315.0,5310039.0,
read_row_misses_channel_0_core,357067,347508,346699,347275,
,357067.0,347508.0,346699.0,347275.0,
read_row_conflicts_channel_0_core,2162693,2149718,2149787,2149405,
,2162693.0,2149718.0,2149787.0,2149405.0,
write_row_hits_channel_0_core,2296091,2336894,2337166,2336798,
,2296091.0,2336894.0,2337166.0,2336798.0,
write_row_misses_channel_0_core,24004,24710,24776,24715,
,24004.0,24710.0,24776.0,24715.0,
write_row_conflicts_channel_0_core,1665170,1623204,1622472,1622890,
,1665170.0,1623204.0,1622472.0,1622890.0,
read_latency_avg_0,52.644411,53.091769,53.097608,53.103526,
read_latency_sum_0,411358008,414798451,414796812,414840496,
req_queue_length_avg_0,1.295051,1.418881,1.419138,1.418552,
req_queue_length_sum_0,1142201109,1161626972,1161699134,1161243388,
read_req_queue_length_avg_0,0.466409,0.506683,0.506740,0.506783,
read_req_queue_length_sum_0,411360970,414817274,414814954,414858645,
write_req_queue_length_avg_0,0.828641,0.912198,0.912398,0.911769,
write_req_queue_length_sum_0,730840139,746809698,746884180,746384743,
record_read_hits,5291740.0,5310337.0,5310314.0,5310038.0,
,5291740.0,5310337.0,5310314.0,5310038.0,
record_read_misses,357067.0,347508.0,346699.0,347275.0,
,357067.0,347508.0,346699.0,347275.0,
record_read_conflicts,2162693.0,2149718.0,2149787.0,2149405.0,
,2162693.0,2149718.0,2149787.0,2149405.0,
record_write_hits,2296091.0,2336894.0,2337166.0,2336798.0,
,2296091.0,2336894.0,2337166.0,2336798.0,
record_write_misses,24004.0,24710.0,24776.0,24715.0,
,24004.0,24710.0,24776.0,24715.0,
record_write_conflicts,1665170.0,1623204.0,1622472.0,1622890.0,
,1665170.0,1623204.0,1622472.0,1622890.0,
dram_capacity,2147483648,2147483648,2147483648,2147483648,
dram_cycles,881974021,818692570,818595146,818611503,
incoming_requests,11799162,11797666,11796382,11796323,
read_requests,7813897,7812858,7811968,7811920,
,7813897.0,7812858.0,7811968.0,7811920.0,
write_requests,3985265,3984808,3984414,3984403,
,3985265.0,3984808.0,3984414.0,3984403.0,
ramulator_active_cycles,159219557,157244471,157219120,157222326,
incoming_requests_per_channel,11799162.0,11797666.0,11796382.0,11796323.0,
,11799162.0,11797666.0,11796382.0,11796323.0,
incoming_read_reqs_per_channel,7813897.0,7812858.0,7811968.0,7811920.0,
,7813897.0,7812858.0,7811968.0,7811920.0,
physical_page_replacement,0,0,0,0,
maximum_bandwidth,12800000000,12800000000,12800000000,12800000000,
in_queue_req_num_sum,1142201109,1161626972,1161699134,1161243388,
in_queue_read_req_num_sum,411360970,414817274,414814954,414858645,
in_queue_write_req_num_sum,730840139,746809698,746884180,746384743,
in_queue_req_num_avg,1.295051,1.418881,1.419138,1.418552,
in_queue_read_req_num_avg,0.466409,0.506683,0.506740,0.506783,
in_queue_write_req_num_avg,0.828641,0.912198,0.912398,0.911769,
record_read_requests,7813896.0,7812857.0,7811967.0,7811919.0,
,7813896.0,7812857.0,7811967.0,7811919.0,
record_write_requests,3985265.0,3984808.0,3984414.0,3984403.0,
,3985265.0,3984808.0,3984414.0,3984403.0,
L3_cache_read_miss,7813897,7812858,7811968,7811920,
L3_cache_write_miss,0,0,0,0,
L3_cache_total_miss,7813897,7812858,7811968,7811920,
L3_cache_eviction,7781129,7780090,7779200,7779152,
L3_cache_read_access,24682512,24695383,24707169,24711574,
L3_cache_write_access,0,0,0,0,
L3_cache_total_access,24682512,24695383,24707169,24711574,
L3_cache_mshr_hit,0,0,0,0,
L3_cache_mshr_unavailable,0,0,0,0,
hit_ratio,68.342375362767,68.3630822814127,68.3817761557384,68.3876065522981,
L3_cache_set_unavailable,0,0,0,0,
cpu_cycles,3527896086,3274770282,3274380586,3274446014,
record_cycs_core_0,3527895979,3274770175,3274380479,3274445907,
record_insts_core_0,0,0,0,0,
memory_access_cycles_core_0,149558947,148948146,148909172,148914799,
cpu_instructions_core_0,10757526980,10757526980,10757526980,10757526980,
L2_cache_read_miss,24682512,24695383,24707169,24711574,
L2_cache_write_miss,0,0,0,0,
L2_cache_total_miss,24682512,24695383,24707169,24711574,
L2_cache_eviction,24621488,24635547,24648253,24652686,
L2_cache_read_access,83194280,54012047,53383321,54107344,
L2_cache_write_access,0,0,0,0,
L2_cache_total_access,83194280,54012047,53383321,54107344,
L2_cache_mshr_hit,0,0,0,0,
L2_cache_mshr_unavailable,0,0,0,0,
hit_ratio,70.3314795199862,54.2780094966591,53.7174373246655,54.3286138754103,
L2_cache_set_unavailable,0,0,0,0,
L1_cache_read_miss,403859122,163378201,162953307,164877876,
L1_cache_write_miss,260263170,186591027,185544398,185547258,
L1_cache_total_miss,664122292,349969228,348497705,350425134,
L1_cache_eviction,83193768,53991732,53348087,54065592,
L1_cache_read_access,2437749270,2237215837,2236799753,2236758727,
L1_cache_write_access,536906089,468054916,467976886,468010077,
L1_cache_total_access,2974655359,2705270753,2704776639,2704768804,
L1_cache_mshr_hit,295654398,280068173,279719490,280930731,
L1_cache_mshr_unavailable,15254112,15407404,15394894,15387059,
hit_ratio,78.0743425496029,87.5621256327249,87.6141491768771,87.5421897384821,
L1_cache_set_unavailable,270019502,481604,0,0,
